SITIO,d,cw,h,cb
23,18.5,4.55,11.5,8.9
23,21.8,5.75,15.6,8.6
23,25.8,6.2,15.3,11.1
23,26.9,8.6,15.9,9.6
23,29.3,5.55,15.3,10.6
23,26,6.15,12.8,8.9
23,17.5,3.55,13.3,6.3
23,38.3,11.25,19.8,12.3
23,16,3.95,12.5,5.8
23,26.9,6.15,15.7,9.8
23,14,5.35,11.6,9.1
23,19.4,5.35,10.5,6.9
23,23.6,8.1,16.7,12.6
23,12.9,2.4,12.3,7.2
23,11.8,2,9.7,6.4
23,25.1,6.45,14.2,7.1
23,23.9,5.35,16.2,11.1
23,16,2.95,9.4,6.1
23,18.2,3.95,9.7,8.9
23,38.5,10.5,22.7,13.1
23,21,5.75,17.4,11.7
23,31,6.5,14.1,6.6
23,27.6,11.05,16.8,9.8
40,30.5,5.75,24,17
40,38.7,6,24.5,4.3
40,28.5,6.6,24.2,13
40,45.1,8.5,24,12
40,52.2,8.85,27.7,15.1
40,29.5,6.7,19.5,10.6
40,48.2,8.95,27,17.5
40,42.5,9,26,11.3
40,25.3,5,19,13
48,68,10.05,31.7,21.6
48,66.7,13.35,31,15.4
48,61,14.8,26.5,14.5
48,42,7.6,22.6,15.2
48,40.6,12.1,21.5,12.6
48,51.5,8.4,29,19.7
48,47.6,6.6,24.1,18.3
48,41,12.6,24.6,18.2
48,48,10.3,27.4,16
48,57,14.55,29.5,21
48,28,7.1,15.7,8.7
48,71,15,29.5,21.1
48,32.5,5.95,17.2,13.9
48,53,13.65,28.9,16.3
48,39.5,10.3,24.6,17.7
39,30.3,8.6,16.8,10.2
39,32,9.6,21.9,12.4
39,23.4,6.75,17.4,10.6
39,26.7,11,21.4,15.2
39,23.8,5.55,17.4,11.5
39,33.1,11.85,24.2,16.8
39,32.9,7.1,18.3,13.4
39,35.1,10.1,17.7,12.9
39,36.4,10.45,19.3,12.7
39,24.7,4.35,16.5,11.8
39,31.7,9.55,15.4,10.5
28,24,6.9,17.2,8.5
28,14.5,4.9,19,12.5
28,21,4.25,22.2,12.9
28,20.2,5.05,16,10
28,11.3,4.15,10,8.5
28,39,8.75,26,17
28,23.7,4.95,24.1,17
28,10,3.45,9.5,7.5
28,19.3,4.8,20.5,12.2
28,30.5,5.75,27,20.1
28,8.5,4.5,9.3,5.4
28,21.3,3.95,25.6,16.6
28,39,8.3,32.4,20.2
28,37,5.85,25.5,16.6
28,27.5,5.5,16.8,13
28,43.8,8,30,17.5
28,26.5,5.4,17,8.5
28,38,6.2,28,16
28,9,2.85,8,4.5
28,55.1,14.85,33.1,22.6
28,47.3,10.9,29,17.2
56,55.5,8.75,28.9,17.5
56,62,8.45,27.1,24.2
56,60.6,11.2,28.4,20.7
56,62.8,13.8,23.8,20.6
56,54.1,7.75,25.4,18.5
56,62.4,10.1,29.4,20.6
56,70.7,14.9,31.6,15.5
56,53.9,10.1,28.8,16.7
56,60.3,10.6,25.6,18.1
56,71,13.25,26.2,16.9
56,58,10.35,26.2,18.7
56,63.6,9.2,28.2,20.2
47,26.6,8.4,15.3,9
47,34.5,9.85,14.8,8.3
47,29.5,6.55,20.3,11.5
47,33.2,9.45,17.7,9
47,28.6,8.45,16.5,7.9
47,28.3,7.7,15.8,11.1
52,50.3,9.45,23.8,15.4
52,61.5,11,26.2,16.7
52,33.7,5.05,21.3,13.3
52,54.7,12.05,25.2,16.5
52,37.7,6.75,16.4,13.3
52,41.5,10.1,21.2,14.3
53,31.8,5.25,13,6.1
53,33.7,6.1,14.8,10.3
53,38.2,8.3,19.5,15.1
53,34.7,7,18.8,8.6
53,41,10,20.3,11.7
53,46.9,9.5,18.6,14.9
53,37.7,10.05,19.1,15.3
31,22.1,2.75,26,18
31,45.6,8,25.9,12.3
31,41.5,7.75,26.8,14.2
31,21.9,3.9,15.9,9.9
31,41.3,6.5,26.2,13.1
31,31.5,5.5,20.1,13.4
31,18.3,5.1,15.2,12.5
31,16.9,6.9,13.2,9.8
31,19.5,3.65,22.7,17.9
31,20.6,5.95,17.3,11.3
31,19.4,4.9,18.8,12.6
31,20.1,4.9,16.8,11
31,23.5,6.95,27,16.9
31,39.9,8.35,26,13.8
31,24.3,8.9,14.6,12.4
31,22.8,6.3,15,10.4
31,20.5,4.35,22.2,15
31,43.6,9.2,25.2,12.9
31,51,9.15,25.8,18.2
31,19.7,4.75,16.6,12
31,22.5,7.95,13.6,6.3
31,41,5.75,24.3,16
31,30.3,5.4,24.7,11.4
31,25.9,4.75,20,17.5
31,23.3,5.5,22,14
31,48.8,8.85,25.2,16.4
